,Unnamed: 0,지역,0∼4세,5∼9세,10∼14세,15∼19세,20∼24세,25∼29세,30∼34세,35∼39세,40∼44세,45∼49세,50∼54세,55∼59세,60∼64세,65∼69세,70∼74세,75∼79세,80∼84세,85∼89세,90∼94세,95∼99세,100세이상,lat,lng,지수
0,0,삼덕동,240,263,178,202,705,1140,667,576,464,420,382,329,331,243,195,179,114,68,25,5,7,35.8655203,128.6088884,122.76
1,1,동인동,134,212,233,262,545,963,612,568,504,647,650,701,714,547,523,438,278,143,57,11,13,35.8713245,128.6072494,347.15
2,2,성내1동,72,97,96,144,590,810,467,302,259,306,307,328,349,222,225,216,126,67,37,6,7,37.5373468,127.12734420000001,341.89
3,3,성내2동,67,67,80,117,346,492,306,229,220,278,347,411,417,379,317,249,149,77,31,10,15,37.5323199,127.1294284,573.36
4,4,성내3동,310,260,89,146,312,342,456,602,357,340,340,396,371,288,223,186,123,44,20,8,5,37.5259868,127.13290020000001,136.12
5,5,대신동,513,401,256,308,410,419,598,852,561,615,648,598,617,443,351,303,189,84,25,10,11,35.8664553,128.5780578,121.03
6,6,남산1동,120,159,122,191,373,487,324,356,317,340,414,412,407,294,266,275,176,71,11,7,2,35.8593256,128.5904184,274.81
7,7,남산2동,105,105,103,162,291,323,272,282,229,324,331,309,272,249,245,188,128,76,22,9,14,35.863798100000004,128.58989029999998,297.44
8,8,남산3동,283,330,273,258,367,354,421,572,568,568,546,539,525,423,369,328,211,96,30,5,4,35.8612519,128.58710929999998,165.46
9,9,남산4동,403,567,515,575,697,647,605,817,910,1031,938,885,907,778,641,503,393,164,48,16,9,35.858214600000004,128.58053030000002,171.85
10,10,대봉1동,271,285,266,357,495,501,445,496,525,650,618,588,541,404,373,370,269,126,43,12,8,35.8616036,128.604334,195.26
11,11,대봉2동,35,43,60,104,117,140,106,110,143,237,209,206,209,196,224,186,101,51,18,3,6,35.858132,128.5998065,568.84
12,12,신암 1동,125,165,198,284,428,457,350,379,438,567,646,764,768,667,548,549,355,158,46,12,5,35.8842961,128.6163322,479.51
13,13,신암 2동,487,609,493,363,502,524,647,884,1009,892,786,766,784,635,536,478,284,152,39,12,10,35.879268700000004,128.6143595,135.05
14,14,신암 3동,327,400,268,325,467,519,570,732,587,637,686,736,785,601,473,375,272,98,38,12,3,35.879601799999996,128.6230817,188.14
15,15,신암 4동,201,275,304,422,833,1066,769,770,748,1056,1258,1395,1304,1006,771,588,350,140,50,10,10,35.8850183,128.629275,375.0
16,16,신암 5동,90,149,167,248,411,394,282,306,349,522,577,683,703,550,442,363,265,97,26,4,4,35.8897398,128.6330245,431.28
17,17,신천 1.2동,382,498,416,538,732,802,748,861,927,1043,1114,1133,1141,942,758,723,442,227,49,17,7,35.870019799999994,128.6149437,244.21
18,18,신천 3동,413,549,512,537,897,778,701,937,926,1035,1138,1083,942,677,540,429,309,156,42,11,8,35.8730511,128.6231546,147.35
19,19,신천 4동,58,109,150,219,471,843,589,472,471,551,638,693,671,584,400,339,221,101,30,5,4,35.871713899999996,128.6292753,531.23
20,20,효목 1동,242,321,334,564,875,963,713,760,780,1008,1221,1437,1427,1194,947,780,525,183,61,11,10,35.88163,128.6449126,413.71
21,21,효목 2동,358,441,475,590,880,1056,808,908,995,1162,1201,1358,1431,1134,883,646,444,212,69,11,10,35.8775744,128.6380523,267.58
22,22,도평동,102,100,123,150,270,348,242,216,208,306,357,396,388,306,249,219,144,74,16,3,0,35.9108207,128.6536889,311.08
23,23,불로봉무동,1127,1581,1402,1330,1458,1496,1380,2164,2334,2294,2146,2104,1963,1448,989,729,470,207,74,13,4,35.9101815,128.63921729999998,95.72
24,24,지저동,201,208,216,385,631,713,541,491,530,725,961,1130,1169,762,622,498,293,131,34,8,5,35.899664,128.64159479999998,376.48
25,25,동촌동,447,461,381,579,1004,1200,954,1019,955,1134,1447,1635,1521,1191,823,745,455,179,59,15,2,35.8868515,128.64957900000002,269.12
26,26,방촌동,379,555,574,808,1195,1229,877,959,1047,1334,1694,1939,1813,1368,997,848,545,282,73,16,6,35.8800196,128.6652157,274.2
27,27,해안동,364,447,409,540,869,1045,832,868,892,1090,1368,1510,1483,1251,940,755,488,194,65,19,2,33.4284365,126.4673892,304.43
28,28,안심1동,1673,2341,1914,1868,2614,2765,2558,3438,3446,3489,3471,3666,3506,2547,1767,1428,929,452,152,26,7,35.8703544,128.7020185,123.28
29,29,안심2동,318,310,250,394,640,738,597,696,610,773,1002,1123,1029,781,612,483,270,126,44,6,6,35.8754,128.68705,265.15
30,30,안심3.4동,3964,4444,3738,3435,3765,4269,5445,6865,6386,6153,4876,4284,3957,2921,2132,1598,964,443,127,39,13,35.870104600000005,128.7110177,67.82
31,31,공산동,281,421,487,656,822,768,593,755,880,1287,1382,1558,1494,1338,1069,905,627,314,86,18,7,35.940178,128.644161,367.03
32,32,내당1동,160,197,212,334,622,731,493,496,487,610,801,929,899,637,472,356,226,109,23,3,10,35.860324799999994,128.55511409999997,322.67
33,33,내당2.3동,162,188,216,347,614,695,472,520,573,784,957,1091,1054,887,673,576,365,131,42,6,7,35.8672694,128.5745026,474.73
34,34,내당4동,333,455,544,763,1152,1327,1022,986,989,1318,1533,1697,1637,1199,927,615,401,207,61,12,2,35.86074179999999,128.551422,257.06
35,35,비산1동,124,200,266,382,556,620,417,486,557,815,1035,1114,972,796,610,506,302,117,39,12,8,37.3996936,126.9335622,405.08
36,36,비산2.3동,123,192,215,302,467,602,395,435,474,722,908,1060,1038,832,694,689,411,153,50,14,18,35.8757964,128.57469740000002,539.81
37,37,비산4동,167,227,241,399,671,656,495,506,595,752,968,1089,1046,818,566,474,309,123,28,13,11,35.8697691,128.5741416,368.82
38,38,비산5동,93,119,146,227,318,372,333,299,350,474,603,718,691,591,429,393,246,101,26,1,1,35.886267,128.56958659999998,499.44
39,39,비산6동,95,125,178,331,484,551,349,362,384,667,779,917,855,598,424,394,235,107,25,5,7,35.8763232,128.5690869,451.01
40,40,비산7동,182,207,229,379,592,765,517,526,596,895,1186,1299,1113,929,671,536,322,99,33,3,4,35.8879885,128.55353200000002,420.23
41,41,평리1동,108,192,201,310,505,532,363,386,436,634,825,859,832,625,429,430,239,105,27,10,6,35.8755462,128.5631705,373.45
42,42,평리2동,287,369,288,310,429,507,444,554,589,663,712,807,776,529,412,300,180,71,24,6,1,35.8712127,128.5636426,161.33
43,43,평리3동,149,207,232,416,629,686,527,500,570,819,1044,1225,1083,791,578,416,276,95,39,9,3,35.8721594,128.55883640000002,375.34
44,44,평리4동,622,765,593,663,1066,1278,1048,1354,1254,1368,1634,1892,1623,1236,820,572,354,174,70,15,4,35.867324100000005,128.55678229999998,163.89
45,45,평리5동,34,59,42,80,109,132,85,113,120,148,187,224,213,164,112,86,46,13,5,1,6,35.8737682,128.54872690000002,320.74
46,46,평리6동,61,107,138,208,317,333,228,278,268,436,561,633,613,466,284,234,151,76,18,3,0,35.875157,128.5482269,402.61
47,47,상중이동,518,833,796,939,1357,1360,1031,1248,1421,1639,1897,2133,1976,1403,914,605,376,171,68,24,12,35.8678798,128.5442835,166.42
48,48,원대동,118,163,170,265,446,542,348,383,479,626,802,836,779,670,483,428,266,124,32,3,0,35.8867951,128.5744191,444.79
49,49,이천동,350,496,499,561,629,631,584,766,905,1147,998,973,921,834,709,681,482,253,96,24,8,35.8536605,128.59938970000002,229.52
50,50,봉덕1동,202,201,236,297,490,635,569,590,641,728,815,849,803,669,500,425,353,195,43,10,7,35.8455224,128.597751,344.6
51,51,봉덕2동,309,383,418,479,551,569,514,627,698,814,896,934,1023,830,642,509,388,233,82,16,6,35.8438007,128.6009728,243.78
52,52,봉덕3동,379,507,609,801,1019,1049,860,1083,1149,1466,1457,1507,1578,1180,873,798,582,299,83,14,11,35.8298567,128.5968828,256.86
53,53,대명1동,234,325,352,438,802,948,708,738,716,897,1025,1028,1031,777,634,466,303,131,59,14,3,35.84030070000001,128.5768922,262.02
54,54,대명2동,194,223,271,428,1019,1067,728,687,638,858,879,995,948,770,665,549,363,190,52,11,6,35.8552991,128.5866408,378.78
55,55,대명3동,183,205,255,401,717,794,573,599,649,889,921,1132,1070,885,702,575,374,166,56,11,10,35.852354299999995,128.57903059999998,432.19
56,56,대명4동,227,260,252,393,791,878,612,608,600,817,987,1091,1134,881,656,555,351,139,38,8,8,35.8479377,128.5723094,356.7
57,57,대명5동,132,167,166,302,727,852,495,478,411,617,651,685,679,552,447,406,268,135,35,8,5,35.8432165,128.587836,399.14
58,58,대명6동,239,334,307,334,623,779,646,726,679,746,753,821,795,621,469,382,264,139,41,10,4,35.835134100000005,128.5660323,219.32
59,59,대명9동,364,460,386,555,1073,1335,1025,1151,1101,1230,1421,1309,1341,1017,821,671,422,212,71,14,11,35.8372451,128.57917,267.69
60,60,대명10동,160,193,216,302,608,786,585,574,552,653,813,826,889,734,524,467,316,157,40,13,2,35.8399946,128.5689209,395.96
61,61,대명11동,137,188,173,274,433,565,434,502,445,626,696,866,883,804,529,457,306,130,39,9,3,35.836188899999996,128.5605608,457.23
62,62,고성동,159,147,152,207,276,326,291,338,320,389,424,445,452,381,282,260,142,81,24,6,5,35.881878799999996,128.5835574,257.86
63,63,칠성동,1113,1351,1019,1041,1225,1489,1611,2087,2115,1916,1683,1649,1481,1127,871,731,523,260,79,26,10,35.8791575,128.5998609,104.13
64,64,침산1동,84,99,84,152,228,264,232,218,209,282,409,549,489,375,254,184,100,51,22,5,2,35.8903218,128.5811404,371.91
65,65,침산2동,954,1387,1202,1072,1171,1005,1193,1772,1834,1871,1536,1249,1060,798,545,479,309,115,36,16,3,35.8872674,128.596917,64.94
66,66,침산3동,778,1045,1102,1247,1389,1065,1065,1416,1638,1921,1856,1622,1351,1000,795,646,421,209,46,8,5,35.89204470000001,128.5893065,107.01
67,67,노원동,376,318,269,385,634,788,836,789,777,915,1056,1399,1216,970,717,513,236,112,35,5,7,35.8863782,128.5798906,269.47
68,68,산격1동,113,161,206,306,492,573,362,401,511,669,890,1071,1060,929,683,610,421,164,35,7,5,35.8928217,128.59461100000001,594.58
69,69,산격2동,247,383,400,560,898,830,573,635,605,947,1100,1227,995,692,468,412,250,109,39,6,1,35.9017099,128.60922040000003,191.94
70,70,산격3동,132,173,194,321,1120,1247,650,471,504,608,637,668,660,535,421,327,233,96,25,7,3,35.8934609,128.6082767,330.06
71,71,산격4동,122,202,203,302,557,720,524,502,478,603,787,834,876,673,517,396,259,108,37,2,0,35.9009525,128.6050886,377.99
72,72,복현1동,96,102,119,276,1030,1156,561,446,368,472,605,612,596,393,284,215,141,60,15,1,1,35.8937391,128.6185537,350.16
73,73,복현2동,921,1198,1276,1724,2166,1832,1546,1833,2060,2462,2597,2423,2103,1291,867,635,432,242,79,15,7,35.895406,128.62538600000002,105.1
74,74,대현동,601,724,534,659,1430,1389,1027,1277,1296,1422,1486,1520,1452,1247,916,869,531,242,86,17,16,35.8832681,128.6090269,211.08
75,75,검단동,169,189,206,255,370,413,429,445,431,500,563,718,708,547,379,304,196,99,24,4,1,35.9162165,128.62473319999998,275.53
76,76,무태조야동,1420,1771,1750,2074,1962,1652,1768,2552,2886,3708,3073,2335,2073,1573,1069,779,433,186,57,9,1,35.9213464,128.597055,83.12
77,77,관문동,2258,2411,1638,1528,1991,2068,2795,3911,3253,3161,3008,2954,2476,1586,1084,770,430,225,59,11,4,35.906403499999996,128.5626977,66.1
78,78,태전1동,684,755,764,1092,1965,1755,1415,1316,1431,1840,2099,2172,1786,1154,793,659,455,234,69,13,2,35.9240401,128.543226,153.38
79,79,태전2동,744,967,1113,1481,2016,1723,1311,1532,1735,2318,2411,2343,1884,1257,920,700,409,171,54,16,1,35.921939200000004,128.544655,124.93
80,80,구암동,1120,1736,2286,2960,3127,2255,1602,2025,2846,4284,3995,3101,2026,1096,814,777,495,226,78,14,0,35.932468799999995,128.56958600000002,68.07
81,81,관음동,388,634,704,981,1373,1143,826,858,1037,1606,1831,1759,1525,965,590,547,383,170,46,7,3,35.9442317,128.5472251,157.07
82,82,읍내동,790,1006,1107,1528,2269,2104,1542,1595,1617,2407,2751,2760,2132,1238,840,737,504,279,63,11,6,35.9458146,128.5505587,126.7
83,83,동천동,933,1548,2068,2540,2577,1604,1327,1675,2523,3761,3155,2116,1204,664,577,563,401,161,32,5,1,37.341258700000004,127.09946370000002,52.85
84,84,국우동,900,1396,1533,1747,1790,1591,1249,1698,2067,2724,2388,1744,1043,725,540,526,335,160,48,11,2,35.9643066,128.5847892,61.3
85,85,범어1동,418,981,1071,1113,1182,879,614,986,1339,1647,1606,1315,998,727,609,514,373,159,46,10,5,35.855549700000005,128.62202649999998,98.91
86,86,범어2동,366,632,833,932,1177,1181,952,1038,1115,1446,1445,1184,1020,716,506,455,257,141,37,9,2,35.86004929999999,128.6312755,115.95
87,87,범어3동,792,1188,942,1099,1143,956,803,1388,1548,1723,1483,1091,747,503,392,325,221,105,39,7,8,35.8661033,128.61777659999998,54.76
88,88,범어4동,319,1222,2337,1921,1232,642,419,896,2083,2606,1740,987,741,570,476,369,236,130,40,9,1,35.858076700000005,128.64119159999998,47.22
89,89,만촌1동,729,1226,1246,1351,1690,1313,938,1539,1739,2081,2189,1937,1646,1290,942,768,551,272,76,18,2,35.8728811,128.6469406,122.43
90,90,만촌2동,215,334,471,764,956,952,616,611,706,1065,1146,998,876,646,468,373,282,140,36,5,2,35.8598266,128.64716299999998,191.37
91,91,만촌3동,398,1015,1960,2064,1645,856,511,990,1928,2664,2123,1248,931,718,535,475,295,146,38,10,2,35.8679983,128.64904280000002,65.79
92,92,수성1가동,516,841,1016,1225,1285,984,703,999,1398,1871,1767,1441,1236,1058,891,772,550,305,74,29,5,35.8563544,128.6105555,155.25
93,93,수성2.3가동,318,854,929,846,710,534,411,801,1206,1287,973,843,753,619,449,388,220,131,28,3,5,35.8547157,128.6188598,87.72
94,94,수성4가동,348,571,600,888,1139,1006,698,857,940,1359,1537,1395,1205,890,656,569,399,215,68,15,7,35.8626037,128.6166378,185.58
95,95,황금1동,632,1475,2060,2257,1739,1004,742,1320,2115,2876,2439,1756,1443,915,702,474,359,196,81,11,6,35.8439394,128.6380813,65.85
96,96,황금2동,213,368,371,536,817,981,693,713,789,1013,1025,926,821,668,516,449,265,119,47,8,1,35.8415234,128.6251656,217.75
97,97,중동,366,404,399,419,670,828,726,863,913,1013,1037,1005,962,741,563,474,329,155,53,7,3,29.2985278,42.55096029999999,198.89
98,98,상동,424,647,647,699,1013,1107,938,1167,1126,1399,1414,1505,1453,1114,827,674,422,252,86,20,7,37.5003271,126.74982320000001,198.02
99,99,파동,486,581,487,512,615,656,716,918,978,995,986,1078,1188,941,742,577,371,179,61,17,8,35.81547,128.61511000000002,186.36
100,100,두산동,443,522,508,690,1058,1186,883,992,1104,1259,1467,1279,1091,682,468,343,219,118,34,12,4,35.8294408,128.6205833,127.63
101,101,지산1동,456,642,770,1241,1721,1603,1124,1219,1369,1949,2175,2128,1963,1444,1109,952,608,343,114,19,5,35.1483152,126.9441243,245.93
102,102,지산2동,433,712,851,1060,1385,1211,926,1109,1206,1739,1855,1816,1642,1240,779,642,482,301,86,13,2,35.820332799999996,128.6324473,177.61
103,103,범물1동,162,239,266,471,753,683,449,523,584,819,992,1260,1309,1041,782,671,479,259,85,14,4,35.8177206,128.6459143,500.0
104,104,범물2동,406,711,844,988,1102,852,689,873,1216,1413,1450,1443,1401,945,560,412,281,136,54,11,3,35.8110617,128.6545248,122.49
105,105,고산1동,739,1623,2209,2655,2597,1895,1256,1644,2398,3404,3145,2772,2029,1190,794,709,521,256,86,17,4,35.8371086,128.71235149999998,78.25
106,106,고산2동,810,1261,1519,1920,2140,1751,1338,1667,2012,2682,2748,2407,2017,1301,923,692,561,284,98,21,5,35.8433575,128.6950479,108.22
107,107,고산3동,1018,1634,1971,2418,2789,2176,1557,2024,2464,3399,3653,3113,2117,1339,896,868,672,341,94,16,7,35.8441076,128.7065188,91.56
108,108,성당동,715,1091,964,1106,1462,1559,1265,1691,1751,1952,2106,2171,2103,1691,1181,843,545,226,62,22,8,35.8391055,128.55817199999998,165.27
109,109,두류1.2동,278,364,325,447,1005,1435,982,973,842,1130,1358,1381,1451,1074,820,744,443,176,56,11,6,35.8557,128.57218999999998,344.36
110,110,두류3동,176,239,275,339,621,709,501,497,534,650,759,812,761,642,492,408,286,120,38,7,5,35.853962100000004,128.56069340000002,289.57
111,111,본리동,827,1292,1069,1060,1364,1351,1215,1796,1934,2003,1961,1969,1566,1058,630,405,250,125,35,13,3,35.8394295,128.5378025,79.02
112,112,감삼동,1004,1207,1042,1358,2069,2278,1890,2032,1939,2306,2684,2584,2171,1427,926,660,382,142,55,12,2,35.849374299999994,128.54275,110.85
113,113,죽전동,311,411,423,632,1130,1298,956,862,911,1188,1474,1544,1345,863,545,417,247,132,32,2,2,37.3290605,127.1264906,195.63
114,114,장기동,612,775,786,973,1289,1229,1035,1303,1317,1513,1780,1608,1242,890,563,411,230,114,32,7,3,37.6449061,126.66959650000001,103.54
115,115,용산1동,843,1304,1620,2117,2756,2375,1696,1782,2219,3200,3595,3096,2109,1201,839,644,425,168,46,8,2,35.856463899999994,128.531146,88.48
116,116,용산2동,844,1100,1279,1791,2549,2260,1661,1748,1945,2843,3405,3131,2046,1155,743,614,410,161,52,10,2,35.8584355,128.5229248,97.64
117,117,이곡1동,598,817,1037,1598,2169,2002,1259,1276,1594,2276,2845,2434,1496,903,592,444,327,160,39,7,0,35.8574826,128.50921709999997,100.82
118,118,이곡2동,426,499,618,845,1254,1324,1136,1018,1015,1430,1688,1915,1570,872,496,372,222,112,33,8,0,35.8557134,128.5013439,137.07
119,119,신당동,648,840,981,1607,3542,3084,1997,1674,1965,2803,3402,3098,2217,1348,1042,789,581,257,80,16,1,37.5615738,127.0194523,166.63
120,120,월성1동,1741,3602,4449,3904,2706,1510,1587,3224,5137,5660,3672,2150,1658,1179,758,525,350,199,59,11,8,35.828216299999994,128.5255044,31.55
121,121,월성2동,253,392,452,767,975,911,610,748,1030,1328,1507,1622,1628,1480,1153,912,629,275,81,12,6,35.830911900000004,128.528258,414.59
122,122,진천동,4007,5232,4307,4154,4768,4526,4888,6960,6916,6771,6209,5700,4595,3185,1998,1500,956,469,139,19,17,35.8147467,128.52420379999998,61.15
123,123,상인1동,1258,1858,2153,2822,3057,2436,1953,2331,2837,3757,3833,3610,2996,1905,1227,855,650,353,106,20,5,35.814219200000004,128.54497890000002,97.19
124,124,상인2동,579,634,621,944,1619,2010,1574,1355,1150,1545,1877,2077,1823,1188,742,542,358,177,53,13,4,35.8125252,128.53620279999998,167.78
125,125,상인3동,187,215,240,368,670,638,564,611,552,734,985,1347,1443,1106,704,584,381,219,68,12,0,35.8143995,128.5507763,478.82
126,126,도원동,1014,1441,1571,2194,2761,2426,1858,2162,2259,3093,3681,3820,3338,1987,1222,929,700,324,89,26,0,35.7933182,128.55617379999998,131.07
127,127,송현1동,385,507,525,852,1402,1525,1179,1164,1189,1580,1901,1978,1818,1388,958,753,512,206,64,13,3,35.829384499999996,128.5536447,275.02
128,128,송현2동,323,470,551,762,1224,1348,977,1024,1113,1360,1675,1878,1929,1391,976,827,556,269,90,18,7,35.8251562,128.5544412,307.59
129,129,본동,281,406,419,568,870,869,722,843,897,1099,1301,1368,1230,925,584,458,315,167,61,8,0,37.5124421,126.9534025,227.67
130,130,화원읍,1604,1885,2054,2667,3361,3084,2537,2881,3163,4206,4953,4913,4105,2657,1795,1421,845,426,131,28,10,35.8037979,128.5005419,131.93
131,131,논공읍,528,633,738,995,1263,1143,955,1060,1336,1911,2027,1910,1459,873,601,531,390,191,62,9,4,35.7740009,128.42021200000002,140.13
132,132,다사읍,5968,6705,4986,4229,4737,5098,6877,9646,8812,7512,6668,6199,4705,3067,1981,1332,778,389,122,25,2,35.8618121,128.4539479,43.58
133,133,가창면,152,272,258,256,388,314,294,390,452,537,628,755,891,728,569,435,393,225,84,16,4,35.8026677,128.62285,359.82
134,134,하빈면,22,39,34,27,56,57,53,59,55,68,157,200,200,147,120,150,146,94,20,6,1,35.9009251,128.44548600000002,720.0
135,135,옥포면,1461,1240,902,820,1262,1488,1783,2351,1792,1782,1992,2372,2110,1430,977,709,473,222,62,8,0,35.7896321,128.46379199999998,107.72
136,136,현풍면,1328,1251,897,809,1238,1960,2247,2393,2001,1641,1633,1603,1506,993,763,566,405,200,62,10,3,35.697305799999995,128.4476215,86.36
137,137,유가면,2664,2844,1969,1341,1093,1420,2584,4021,3434,2370,1551,1352,1234,845,468,331,262,113,44,4,2,35.677419799999996,128.4554311,27.67
138,138,구지면,648,574,314,224,296,617,898,1049,801,631,598,621,603,467,353,326,293,154,39,7,1,35.6588229,128.4135003,106.77
